,Name,Manufacturer,Image,Cartridge,Country,Introduced,Type
90,Métral submachine gun,Made by Gérard Métral (only one prototype made),,9×19mm Parabellum,Switzerland,1995,SMG
91,MGD PM-9,,,9×19mm Parabellum,France,1950,SMG
92,MGP submachine gun,SIMA Electronica,,9×19mm Parabellum,Peru,1979,SMG
93,MGP-15 submachine gun,SIMA Electronica,,9×19mm Parabellum,Peru,1990,SMG
94,MGV-176,GorenjeOrbis,,.22 Long Rifle,Yugoslavia Slovenia,1979,SMG
95,Milkor BXP,Milkor (Pty) Ltd,,9×19mm Parabellum,South Africa,1980s,SMG
96,Modern Sub Machine Carbine,OFT Trichy,,5.56×30mm MINSAS,India,2006,SMG
97,Mors submachine gun,Państwowa Fabryka Karabinów,,9×19mm Parabellum,Poland,1939,SMG
98,MOT-919[3][4][5][6],Mechanical and Chemical Industry Corporation,,9×19mm Parabellum,Turkey,2021,SMG
99,Ruger MP9,"Sturm, Ruger & Co.",,9×19mm Parabellum,United States,1995,"SMG, MP"
100,MP 18,Bergmann Waffenfabrik,,9×19mm Parabellum,Germany,1918,SMG
101,MP 34,Waffenfabrik Steyr,,9×19mm Parabellum9×23mm Steyr9×25mm Mauser.45 ACP,Austria,1929,SMG
102,MP35,Bergmann,,9×19mm Parabellum,Germany,1935,SMG
103,MP 38,Erma Werke,,9×19mm Parabellum,Germany,1938,SMG
104,Maschinenpistole 40,Steyr-MannlicherErma Werke Haenel,,9×19mm Parabellum,Germany,1940,SMG
105,MP 41,Haenel Company,,9×19mm Parabellum,Germany,1941,SMG
106,MP 3008,Small machine shops,,9×19mm Parabellum,Germany,1945,SMG
107,Onorati SMG,Umberto Onorati,,9×19mm Parabellum,Italy,Prototype only 1936,SMG
108,Orita M1941,Uzinele Metalurgice Copșa Mică și Cugir,,9×19mm Parabellum,Romania,1941,SMG
109,OTs-33 Pernach,KBP Instrument Design Bureau,,9×18mm Makarov,Russia,1995,MP
110,OTs-02 Kiparis,KBP Instrument Design Bureau,,9×18mm Makarov,Soviet Union,1972,SMG
111,OTs-23 Drotik,KBP Instrument Design Bureau,,5.45×18mm,Russia,1993,SMG
112,Owen Gun,Lysaght's Works,,9×19mm Parabellum,Australia,1939,SMG
